package,breaking_version,ecosystem,label_breaking,V_r,E_r,D_t,H_m,CRS_equal,CRS_learned,CRS_rating,R0,propagation_class,r_squared,first_issue_hours
request,1.0.0,npm,1,1.0,0.0208377607292184,0.0,0.0,0.2552094401823046,0.3517923132065825,WAIT,,,,
supertest,4.0.0,npm,1,0.0,0.020283687653052,0.0,0.0,0.005070921913263,0.0076682195112988,SAFE,,,,
supertest,6.0.0,npm,1,0.0,0.020283687653052,0.0,0.0,0.005070921913263,0.0076682195112988,SAFE,,,,
connect,2.0.0,npm,1,0.2326,0.0202706893977327,0.0,0.0,0.0632176723494332,0.0876578478143535,SAFE,,,,
mocha,1.0.0,npm,1,0.0,0.0191209067952579,0.0,0.0,0.0047802266988144,0.0072286318478711,SAFE,,,,
mocha,2.0.0,npm,1,0.0,0.0191209067952579,0.0,0.0,0.0047802266988144,0.0072286318478711,SAFE,,,,
sinon,2.0.0,npm,1,0.4,0.0154033306153771,0.0,0.0,0.1038508326538442,0.1433890582760356,SAFE,,,,
sinon,3.0.0,npm,1,0.0625,0.0154033306153771,0.0,0.0,0.0194758326538442,0.0273178716128282,SAFE,,,,
sinon,4.0.0,npm,1,0.0,0.0154033306153771,0.0,0.0,0.0038508326538442,0.0058232074159379,SAFE,,,,
sinon,6.0.0,npm,1,0.0,0.0154033306153771,0.0,0.0,0.0038508326538442,0.0058232074159379,SAFE,,,,
sinon,7.0.0,npm,1,0.0,0.0154033306153771,0.0,0.0,0.0038508326538442,0.0058232074159379,SAFE,,,,
puppeteer,3.0.0,npm,1,0.0,0.0142673284739705,0.0,0.0,0.0035668321184926,0.0053937434084747,SAFE,,,,
puppeteer,4.0.0,npm,1,0.0,0.0142673284739705,0.0,0.0,0.0035668321184926,0.0053937434084747,SAFE,,,,
puppeteer,5.0.0,npm,1,0.0,0.0142673284739705,0.0,0.0,0.0035668321184926,0.0053937434084747,SAFE,,,,
puppeteer,9.0.0,npm,1,0.0017,0.0142673284739705,0.0,0.0,0.0039918321184926,0.0059783982746302,SAFE,,,,
log4js,1.0.0,npm,1,0.1176,0.0105053224508193,0.0,0.0,0.0320263306127048,0.0444158824898209,SAFE,,,,
log4js,2.0.0,npm,1,0.9375,0.0105053224508193,0.0,0.0,0.2370013306127048,0.3263914852903061,SAFE,,,,
log4js,3.0.0,npm,1,0.2326,0.0105053224508193,0.0,0.0,0.0607763306127048,0.083966064612099,SAFE,,,,
log4js,4.0.0,npm,1,0.0,0.0105053224508193,0.0,0.0,0.0026263306127048,0.0039715223369522,SAFE,,,,
log4js,5.0.0,npm,1,0.0,0.0105053224508193,0.0,0.0,0.0026263306127048,0.0039715223369522,SAFE,,,,
better-sqlite3,3.0.0,npm,1,0.2,0.0096411228889213,0.0,0.0,0.0524102807222303,0.0724277383413999,SAFE,,,,
bcrypt,1.0.0,npm,1,0.0,0.0071453841008803,0.0,0.0,0.00178634602522,0.0027013023822544,SAFE,,,,
